text,label
@feelingsohorny Нихуя себе испытание в старой игре Гарри Поттера 🙄🙄🙄,negative
"@anna__kj Ой жиза
Почему в таких сериалах куча поучительного",neutral
"@AILUJ6666 Отлично, теперь ты у меня в галерее😍.",positive
@Kain__bro И что?,neutral
@babababebebeba закрытка мб кого-нибудь пущу😊,positive
"сегодня разговривала с мошенниками, не знают, что ответить",negative
"#феминизм
Какие же вы ничтожны сами по себе. Вы за идею, а отстоять её не можете. Конец прикола https://t.co/hLg2VVpBg6",negative
КамАЗ с молоком неудачно развернуло под Белгородом https://t.co/zWOUsWJwTv,negative
@_so_blue_shell мильен раз да... https://t.co/0QZCFdrmgB,neutral
"@lenarush_ Эх! Лена, не было бы мне 84 года, может я бы к тебе, в Питер, на чай махнул.",neutral
"@aseeeeenka Я долбоёб((
Но пытаюсь исправиться.",negative
"Чин-чин, как говорится https://t.co/zUeDNpuhYR",neutral
@vihoba КТО ПРИСТАВИЛ МНЕ РУЖЬЕ В ЛИЦО и СВАЛИЛ???? https://t.co/xi0wo5qIk6,negative
@jadno_ Хвала,neutral
Хотя Иллуми Моро тоже ничего 😼😼,positive
@botvinko_botan Ах вот как они у тебя появляются,positive
"@D_Steshin Крысы радуются болезням хомяков? Так вид же один - грызуны. Если хомяков начнет косить, то и крысы не спасутся...",negative
@Gulerot2 Ну вы посмотрите как этот зайчик🐰 улыбается ✨🥰😍,positive
@zabuivchivaya Кроме крашенья стен и цветов,neutral
@incujyuto ОХУЕННО,positive
"@callmesaykal интровертка, но я последние 5 месяцев сидела дома и как-то 🚬🚬🚬🚬",neutral
@hello_g_u_ys моё уважение,positive
"Я приехал к оливии поздравить её с др, я так её давно не видел QQ",positive
"НОС: ВЫБОРЫ НА УКРАИНЕ, ПОБЕДА ХАБИБА, ЧП ЗАКРЫТ, ВОЕНКОМАТ И ДЕВУШКА ПРИМАНКА  https://t.co/gjQFZB38Jn",negative
"Сегодня пиздец какой ебанутый день

Спасибо блять",negative
@evgesha_tu Может это отличная идея для тату,positive
@imBItchandchill 😐 как скажешь конечно,neutral
«Все локации очень крутые» — DrDisRespect поделился впечатлениями от Warzone – https://t.co/7ePSwMdMmi https://t.co/pulNpQjLB3,positive
"@stalker_taekook я люблю бтс
я люблю 7х замечательных парней
я люблю арми
я люблю❤️",positive
"@noname_SSUWGMD то есть, это плохо, но я рада, что я права 😐",negative
"Но ее очень легко подделать без лишних махинаций, в отличии от смеха и плача.",neutral
"@apricot_lili а стоп------------------------
о НЕТ я снова",neutral
"я: мою себе чашку
мой брат: будет смешно если я ее пну по почке))))",negative
бля реально оч красиво................и эта тема с куклами и ваще вс,positive
Это было 2 года назад но блять КРИНЖ??????????????,negative
"#НоваяАватарка
Нашёл фотку с братишкой @FilthyTeaBag в плохом качестве, но с хорошим вайбом https://t.co/3bdA428ScZ",neutral
@heyanastasiia ахахахаахаххах,positive
@imBItchandchill 😐 как скажешь конечно,neutral
@kov_monstax мне тоже она очень нравится 🥰❤️,positive
"@StalinGulag Белорусский уголовник получил по заслугам.Придёт время и ты своё получишь.Тоже по заслугам,недобитый власовец...",negative
"А я взяла и оставила ссылку на инсту в био👀
это не пиар просто пиар",neutral
поправляйся!!! надеюсь твое плечо больше не будет беспокоить тебя #GetWellSoonYoongi,positive
Сил мне не обосраться подносом в штаны сегодня,negative
Получил в глаз даже от кота.,negative
пиздец,negative
"Когда англичанка сказала, что мы её лучшая группа 😍🤤😭😭😭😭",positive
@tashgadel @spb_chikimoni Мне кажется это Виллем рассказывал про своего брата в Бельгии,neutral
моя новая подружка https://t.co/twf6zDT84s,positive
"@IBN_MOHAMMAD Жесткая месть
Шакалы ответят !",negative
"Была хреновая попытка, и мне стыдно за неё, что так ворвалась в чужое пространство",negative
"Выступление Медведева - своего рода эквивалент обращения Молотова 22 июня 1941 года (когда Сталин ""исчез"" на 10 дней).",neutral
РОССИНЕ ЕБНУТЫЕ ГДЕ ГОЛОС БЕЛАРУСИ Ф пиздецц https://t.co/tL34av0V5j,negative
@flufairii как же секси скажии,positive
Сегодня что то совсем нет сил,negative
Сука я на полном экране это не выдержу *но конечно же посмотрю https://t.co/oGeyYOrH3C,negative
хочу спин офф про Кая Паркерв,positive
"@mayya_gv Там же даже дыхание станет свежее, чем от тик-така",positive
"если это правда насчёт тао и чжиын , то я блять всё...я уже щас орать буду",negative
"А ещё я люблю пальто, чего уж там",positive
@Ai_LaoHuYou @Wanda_d_Winter Бутылочку https://t.co/bI7Qn7trct,neutral
"@DLGreez Sunlight: мы закрываем свои магазины в России

Тоже Sunlight: приходите к в наши магазины покупать барахло",negative
ОН. https://t.co/n7sTpBSsWF,neutral
"ребят нет
у меня же
долги
и
эх
прощайте https://t.co/NnknAWhFfM",negative
"Всем привет! Я выиграл в игре Pyatnashki 11.10.2020 14:14:17, очки : 894",positive
@DosovaLove Мы на успокоительных 😂,neutral
"Блять хватит,я уде не выдерживаю",negative
"Великолепно. 😌
https://t.co/6ih3LcJlrW",positive
"Бля,я только написал,и они перестали",negative
@miss_jenniekim Увууу как милоооооооооооо 😢💗💕💗💕💕💗💕💗💕💗💕💗💕💗,positive
Всем хороших выходных💙 https://t.co/VwVEtAZlwb,positive
@rianru Знатно бомбит змагаровскую шелупонь.,negative
хочу погулять 😔😔😔 надеюсь завтра с кем-нибудь схожу,positive
По моей одноразовой маске археологи даже через тысячу лет смогут восстановить слепок моего черепа🤔,neutral
@BigHitEnt ОЙ БЛЯТЬ Я НЕ ЗАМЕТИЛА УАКОГО ХУЯЯ,negative
"видеть в психопатичных мужчинах свой идеальный типаж неприлично, да кто ж меня остановит",neutral
@shininwithyou8 вау😮,positive
@stihuynya Спасибо. Ваши персонажи просто прелесть ~,positive
@vemiAsIGhtcnOnb @kataev777best По ходу дебил!,negative
@abstruse_cook Срочно нужна гиждуванская керамика в следующий раз 😁,positive
"Удаленка:
не могла ответить, потому что кот лизал мою руку",neutral
Этот взгляд в самую душу 🥵🥵🥵 https://t.co/UB3nyc74TI,positive
@_Fashington @Fake_MIDRF не слышу никаких криков только ропот о новых лишениях и изощренных методах отъема денег и будущего,negative
@grustnayajabaa @EtoNeTryla1a @KukuruzaLeon Где душно? У меня тут свежо и прохладненько,positive
"@Ninel1953 @Vremya_Pokazhet А у нас сейчас на улице +29. И без маски спасает только ветер, а в маске - вообще душегубка получается.",negative
@SGI_twt я где-то тихо гыгыкаю в сторонке,positive
ощущаю на себе выражение «влачить своё существование»,negative
если кому-то нужна ссылка: https://t.co/krmtuvgQKl,neutral
@I__love_Yoongi_ @tokyo_redf ну матик это хуйня ебанная,negative
"А потом блять р-не будут говорить да чё ты обижаешься сама же ушла
Да ничего блять",negative
"@youreintrap Вводить, буб",neutral
меня опять никто не видит,negative
еду в аниме-магазин я молю бога чтобы там было хоть что нибудь по хс /васт ерор/хайвпуп я съем любое только бы было что,neutral
вот кому повезло так повезло в 2020 - так это белорусам https://t.co/gTJHE56bYM,positive
чтоб вы понимали сколько я ебусь с этими задачами причем значения там одни и те же а я все никак не запомню что куда,negative
я собираюсь прыгнуть в огонь я так скучаю по 1 сезону 😭,negative
@yes2dayU ОЙ КАК ПРИЯТНО ЧТО ЛЮДИ ЕГО ИСПОЛЬЗУЮТ,positive
"@rosbaltru Лучше бы объяснил , что за непонятные люди в гражданке, ходят командуют ментами и угрожают людям расправой !!!",negative
Хочу чтобы так было и завтра.,positive
@i_uchenik08 Я просто не ложилась 👍,neutral
"Окей Гугл, как найти интернет друга больше, чем на пару часов..?",negative
"""А почему ты там долдна быть? Это только для друзей"".
А ты думала, что ты уже тоже друг.
Вот так оно и бывает, девачки.",negative
@gidreammirror Она врет,negative
@mda_uzh ввоооууу,positive
@iva_ruinite ТЫ ГДЕ ГУЛЮ ВЗЯЛА!?,neutral
"@aufffffffffffff Я тебя не ненавижу , я просто не упускаю шанс пошутить",positive
"@Unbeliveable__ 100 — не предел. 700к за мальтипу, камон)",neutral
Липома. Как избавиться от жировиков на лице? https://t.co/j2GOmWI2aZ,neutral
@_vaskerr Я нэжно,positive
"@CurrentTimeTv Дресированные цепные псы, всегда будут нужны крававым упырям☝️",negative
#Tales Of Wind# Отправляйтесь в путешествие и спешите навстречу приключениям вместе с друзьями! https://t.co/yaJ1lZgoCR,positive
@KpopLovesL по-моему охуенно,positive
"Повар спрашивает повараааа какова твоя профессияяя?
Его талант это попадать в неприятности даже во сне🤙 https://t.co/JrUpXkR8Zj",negative
@frog1to Красивая песня хочу на выпускном спеть,positive
@art100780 @sohi1962 Тоже хорошо😁,positive
@netyxava 😭😭😭❤️❤️❤️❤️❤️❤️❤️❤️❤️мояя,positive
"@u1tramir такая же история с Радзинским,тот был трезвый-выплатил 2 мульта и не сел...",negative
юля дай пост там где ты рекламировала вотерпаркс 🥺🥺🥺🥺🥺,neutral
я пью дешевое пиво потому что если жить то только красиво!!!,positive
"@Avdotia_Astr ""Но прежде чем взошла заря,
 Рабы прикончили царя""©",negative
"@tonny_twt Я рада, что с тобой сегодня всё в порядке 💜",positive
я зажгу огонь в твоих глазах!,positive
"@KatySpiridonov Провериться, были контакты 🤭",neutral
"@Jimka1312 блин я слепая извиняюсь
спасибо 🥰",positive
"@kurt_maximoff блять только что хотела скачать клипы со стримхаты и поняла что она была у вовы а он в бане
ахуеть",negative
Когда узнал все результаты ЕГЭ https://t.co/gOf4zJLoyS,neutral
"Ибо к каре я ни за что не хочу возвращаться, мне хватило его в 4 классе 🤦🏼‍♀️",negative
"У меня слов блять нет. Я всю ночь учила хирургию, а в итоге она спросила 4 человека. И спрашивает ВООБЩЕ не по теме",negative
22.05.2020 - Осталось 9 дней до месячного отпуска ( 7 из них я работаю ееее)),positive
@jesuslovechuuya отписался,negative
"30.01.1829 – умер А.С. Грибоедов 
Дым отечества (Михаил Пуриков) / Стихи.ру https://t.co/lKhCGrkjMv",neutral
мне пизда на экзамене по математике,negative
"@ndrblknsk ОРУ
У меня там будет пара по истории, надеюсь, будем играть в Ассасин Крид",negative
@iwannaddddie ЕМАЕ АЛЛЕГРОВА МОЕ ЛЮБИМОЕ ИМЯ!!!!!!!!,positive
@anusalinus_2 почему??,neutral
@dimsmirnov175 дед опять засядет в бункере,negative
@ChocoAelita @FishAndRypppp Супер!☀️,positive
@KasparHey Просто вот слов нет((,negative
@Mariia47761621 Ахахаха это носки?,positive
"сказка про кукушку-путешественницу, что постоянно куда-то отъезжает",negative
@leejooli 😂🤣😅 Тик ток отпусти Чжухони),positive
Мальчик из Питера только жди меня.. Жди меня :&gt;,positive
"89🌙
Ты красиво рисуешь :)) 
Интересный аккаунт, и я снова ахуеваю с кол-во твитов... Очень милая, удачи тебе во всем ~",positive
нервно жду 20 минут в надежде что это ВСЁ,negative
@zweiteiliger Понял :),positive
проснулись расплакалась,negative
"Отдых в Пятигорске. О бессовестной и жадной хозяйке и глупых отдыхающих.Мои друзья из Армавира, (их двое — он и она https://t.co/CAzVmhiR7M",neutral
смотрит в пустоту https://t.co/ONQQ0WbIeA,neutral
"хорошо, что я вовремя опомнилась)0",positive
@homo_legens_ НУ НА ВОТ (НЕ)ПОДАВИСЬ https://t.co/3XBk7nusgJ,negative
Боже какие же мужики мерзкие,negative
"@osakhalinIsland Напоминание) Правильно и сделали, освежили память.",positive
"Мне грустно, плохо и я хочу наполеон...
Или выпить 
Я так и не поняла, помогите, пожалуйста",negative
"Вот что то, а гели этой серии у ив роге офигенные. Мне очень нравится ещё бразильский кофе)) https://t.co/hw24S4P30D",positive
@PuimekSter самые прекрасные,positive
"@Suka_Khvostatay Хорошо)))
Бывает",positive
"@mrborman27 @censor_net Ссыкливая рашка в Крыму топнула ногой, и отважных хохлов как ветром сдуло. Без единого выстрела.",negative
@LisE5s их ещё не спрашивали.:,neutral
"@agggression Ахаха, БОжЕ ДА",positive
@ssatan_twt ппц ною🥺🥺🥺🥺🥺,negative
"бля одна радость была Манни с Тор-Тором, да и тех разлучили:(",negative
ПРОСТО БЛЯТЬ ЧТО ЗА ХУЙНЯ ПРОИСХОДИТ В ЭТОМ СЕЗОНЕ,negative
Этот факт делает мне больно https://t.co/bM33OVZaSg,negative
@sadflit нож? хаха КОПЬЕ,positive
@navsikaya__ В какую погоду подойдут ?,neutral
"@azim_azimovv Кроме поверхностного наносного слоя, не вижу принципиального отличия. На ваш взгляд, в чем отличие?",neutral
"Проснулись, увидели, что сегодня вся лента заполнена рейгеном аратакой, улыбнулись",positive
@aktiv1ty :(сука:(,negative
Ебаный чайнаюик опять тебя ставить да ты заебал,negative
"Наконец-то у меня бинго!!!
Хотя бы где-то https://t.co/YZeHhGnxWD",positive
@kaminskayaaaaa На него такой смайлик : https://t.co/BhFPJGsjTp,neutral
@shadow_hunt Она явно повидал жизнь с такой то внешкой. https://t.co/3l23sWBW1z,negative
Почему я второй день стою в пробках в питере? Вы зачем вы вышли из дома,negative
@dlinnychulok А вам какая-то помощь от немецкого правительства полагается в этом случае?,neutral
"Женщины - пиздаболы, хотя иногда среди них встречаются нормальные пацаны...",negative
@CXCLXNXS @valgrizgel 32 гб живу спокойно все что нужно есть радуюсь жизни,positive
"Выпадет ... Не дождётесь!
https://t.co/yQhJEyB2fe",neutral
@melksshake Фак офф просто,negative
опять эту голову сраную мыть надо,negative
Сладеньких снов всем кто увидит этот твит💫💙💫💙💫💙,positive
@Mynaylu ОООО я там была но мне не понравилось я нашла виде с лип арми тикток и обосралась,negative
яяяяя люблю тебя боже мой невыносимо https://t.co/j5ErvDCJYv,positive
"@JaneR1507 Мои тяжкие думы лишь о том, какие пасхалки в клипах мы ещё не заметили и какие флэшбэки нас ожидают в клипе Сынёна 😆",positive
@pink_alink да нужно бы попробовать,neutral
@myvenusdoom_ @wkdra ЭТО ВСЕ РЕТРОГРАДНЫЙ МЕРКУРИЙ,neutral
"@aslanygh Вообще не думаю. Наверно, задумался после этого и пересмотрел своё отношение, иншаалла. Заодно решил не напрашиваться лишний раз",neutral
Дрочить на женщин тоже нельзя потому что это их тоже объективирует,neutral
@pakarini Не слушай... смотри https://t.co/hBDRVmZx0M,neutral
@tamiichao умоляю 😂😂😂😂,positive
У меня сейчас мозг взорвётся😩,negative
"@UaNavigator Надо их всех отправлять по домам, чтобы строили страну мечты у себя дома в Сомали, Мозамбике, Анголе, Камеруне, Нигерии.",negative
мне кажется я создала шедевр,positive
@daranset да это я,neutral
Что за цирк????  Почему мы ролис за бтс?!?!?! ВСмысле!!?!?!? Что за черт!?!?!  Яне понимать!?!?!,negative
@MlNIMONII мне вчера приснилось то что мне отлизал минхо на подоконнике,positive
@Dredd_Director Упоротая дура!!!,negative
Знаете что? Маркхёки https://t.co/wsIjXPYrja,neutral
@uwuhoubie такой вааау 😭,positive
@LesyaUA7Evropa Та ну.....,neutral
@1UVLE оо надеюсь ты будешь весь день на позитиве 😎🤟🏻,positive
Лешенька а тебя то как туда затащили? https://t.co/F453dWJKMs,neutral
@Ukronos @veria_feeria Сколько подписка на Яндекс стоит?,neutral
@tvoi_mordor тебе еще эти 2 недели на 2 части разбили(,negative
"@spacelordrock А почему ему золотой дали? Что бы визуально понимать где Путин, а где остальные?",neutral
Веселые карусельки)) https://t.co/RI9JWDt33x,positive
@AgustaD7 Мэкачина. Прикольно 😆,positive
"covid19,коронавирус",neutral
@rosvld могу написать вам в дм?,neutral
Богиня в кадре💔 https://t.co/Otj4YyCKrm,positive
пиздец не надо войн в мире пожалуйста тупые вы люди,negative
"@riyashtt СТОЙ ЧТО, ЭТО УВЕДЫ НА??????? МЕНЯ?????????",neutral
Пицца: в мире нет вкуснее еды  https://t.co/EUZ5poEvaB,positive
"@brokkoletty Хорошо, буду 🥺💜❤️💜",positive
@MaSpace77 Я верю! Так что)),positive
@isangtoyourmom хорошо главное не выгори!!!,positive
блятьблятьблятьблятьблятьблятьблятьблятьблятьблятьблятьблятьблятьблятьблятьблятьблятьблятьблятьблять,negative
"Информация о техногенных пожарах, произошедших на территории Алданаского района https://t.co/XhbAgiJrTs",neutral
@krisdayni @fstshkk мне пiхуй я очкозавр,negative
@hahahakillmehah бедная 😭,negative
"Как же я люблю, когда фронтов очень много. 
3 победы, одна ничья. 
Good start!",positive
опять эту голову сраную мыть надо,negative
@oohvante лиз какова хуя,negative
Русский зимний футбол. https://t.co/gTbUkK54kw,neutral
"@absurd_arbus ali_saIS_Dead простите, а можно с вами? 👉👈",neutral
"Женские ошибки, искажающие форму лица https://t.co/iip9quGRtZ",negative
"Сегодня я снова буду писать после смены обещания,как я хочу уйти из этой неблагодарной профессии,но до февраля точно не уйду.",negative
"Избавьте пожалуйста меня от этого дурацкого #shampoochallange, вся лента в нём🤦‍♀️ Не всем хочется лицезреть ваше достоинство",negative
Мохаммед Дауд выпал из строя до конца сезона - травма. https://t.co/t4PeCfViT0,negative
я нашла свою фотку которая вообще была сделана в январе боже https://t.co/alhDzec6QH,neutral
"@gonduras1972 Откуда ж такое появилось то . Самый главный распорядитель, ну и ,наверное, самый сильный😂",positive
Как же я устал от порнухи в Инстаграме,negative
@elyastra Что это за новое стекло? Я готова чувствовать себя живой снова,positive
@Fuck_y0u1 Планиметрияяяя,neutral
@yangiloveuuu скоро буду;) смотри ужин не спали~,neutral
Не знаю как описать насколько сильно я люблю эту обложку https://t.co/GbiMHwB0M3,positive
"я сейчас понял,на что похожи мои ключицы... https://t.co/DhR4hORZvE",neutral
@lovelybrina_ КИСА,neutral
@fanjimin172822 я согласна https://t.co/YtCj9iq8wx,neutral
@haveac1gar триллион флопсов,neutral
ты мой сахар и в этом соль,neutral
Бля ну все в ленте никого а я не хочу спать можт с кем то поболтать,negative
