text,label,id
@feelingsohorny Нихуя себе испытание в старой игре Гарри Поттера 🙄🙄🙄,negative,1335178211400019970
"@anna__kj Ой жиза
Почему в таких сериалах куча поучительного",neutral,1338209694935085058
"@AILUJ6666 Отлично, теперь ты у меня в галерее😍.",positive,1247164231599841283
@Kain__bro И что?,neutral,1281138182071992330
@babababebebeba закрытка мб кого-нибудь пущу😊,positive,1265304327947681792
"сегодня разговривала с мошенниками, не знают, что ответить",negative,1261287333980246017
"#феминизм
Какие же вы ничтожны сами по себе. Вы за идею, а отстоять её не можете. Конец прикола https://t.co/hLg2VVpBg6",negative,1305819043878916096
КамАЗ с молоком неудачно развернуло под Белгородом https://t.co/zWOUsWJwTv,negative,1218582625159393280
@_so_blue_shell мильен раз да... https://t.co/0QZCFdrmgB,neutral,1322866578556375043
"@lenarush_ Эх! Лена, не было бы мне 84 года, может я бы к тебе, в Питер, на чай махнул.",neutral,1275573200500461568
"@aseeeeenka Я долбоёб((
Но пытаюсь исправиться.",negative,1266732371052822529
"Чин-чин, как говорится https://t.co/zUeDNpuhYR",neutral,1218201086076407808
@vihoba КТО ПРИСТАВИЛ МНЕ РУЖЬЕ В ЛИЦО и СВАЛИЛ???? https://t.co/xi0wo5qIk6,negative,1329901433018310660
@jadno_ Хвала,neutral,1262423055017693186
Хотя Иллуми Моро тоже ничего 😼😼,positive,1314540503472328705
@botvinko_botan Ах вот как они у тебя появляются,positive,1270669450971353088
"@D_Steshin Крысы радуются болезням хомяков? Так вид же один - грызуны. Если хомяков начнет косить, то и крысы не спасутся...",negative,1241976116614762497
@Gulerot2 Ну вы посмотрите как этот зайчик🐰 улыбается ✨🥰😍,positive,1224672729397415938
@zabuivchivaya Кроме крашенья стен и цветов,neutral,1261701857031991302
@incujyuto ОХУЕННО,positive,1303728061687488512
"@callmesaykal интровертка, но я последние 5 месяцев сидела дома и как-то 🚬🚬🚬🚬",neutral,1309280485525389313
@hello_g_u_ys моё уважение,positive,1232954252617711618
"Я приехал к оливии поздравить её с др, я так её давно не видел QQ",positive,1251869611546591237
"НОС: ВЫБОРЫ НА УКРАИНЕ, ПОБЕДА ХАБИБА, ЧП ЗАКРЫТ, ВОЕНКОМАТ И ДЕВУШКА ПРИМАНКА  https://t.co/gjQFZB38Jn",negative,1321464359839817729
"Сегодня пиздец какой ебанутый день

Спасибо блять",negative,1328067356153753601
@evgesha_tu Может это отличная идея для тату,positive,1323996888996188167
@imBItchandchill 😐 как скажешь конечно,neutral,1219771169282363392
«Все локации очень крутые» — DrDisRespect поделился впечатлениями от Warzone – https://t.co/7ePSwMdMmi https://t.co/pulNpQjLB3,positive,1237700946446241792
"@stalker_taekook я люблю бтс
я люблю 7х замечательных парней
я люблю арми
я люблю❤️",positive,1251961731032719360
"@noname_SSUWGMD то есть, это плохо, но я рада, что я права 😐",negative,1303758235527249921
"Но ее очень легко подделать без лишних махинаций, в отличии от смеха и плача.",neutral,1285178282493857793
"@apricot_lili а стоп------------------------
о НЕТ я снова",neutral,1247390489134981122
"я: мою себе чашку
мой брат: будет смешно если я ее пну по почке))))",negative,1333030375426301953
бля реально оч красиво................и эта тема с куклами и ваще вс,positive,1263427678922772480
Это было 2 года назад но блять КРИНЖ??????????????,negative,1271515949586407425
"#НоваяАватарка
Нашёл фотку с братишкой @FilthyTeaBag в плохом качестве, но с хорошим вайбом https://t.co/3bdA428ScZ",neutral,1343053193320804354
@heyanastasiia ахахахаахаххах,positive,1268522638395260929
@imBItchandchill 😐 как скажешь конечно,neutral,1219771169282363392
@kov_monstax мне тоже она очень нравится 🥰❤️,positive,1313036618958344197
"@StalinGulag Белорусский уголовник получил по заслугам.Придёт время и ты своё получишь.Тоже по заслугам,недобитый власовец...",negative,1294241762391871489
"А я взяла и оставила ссылку на инсту в био👀
это не пиар просто пиар",neutral,1306974377506934787
поправляйся!!! надеюсь твое плечо больше не будет беспокоить тебя #GetWellSoonYoongi,positive,1324651397544087552
Сил мне не обосраться подносом в штаны сегодня,negative,1214605493806743553
Получил в глаз даже от кота.,negative,1332929540134473728
пиздец,negative,1337708320409473024
"Когда англичанка сказала, что мы её лучшая группа 😍🤤😭😭😭😭",positive,1342834451949170691
@tashgadel @spb_chikimoni Мне кажется это Виллем рассказывал про своего брата в Бельгии,neutral,1244377850603401216
моя новая подружка https://t.co/twf6zDT84s,positive,1312693248075403266
"@IBN_MOHAMMAD Жесткая месть
Шакалы ответят !",negative,1214659206084780032
"Была хреновая попытка, и мне стыдно за неё, что так ворвалась в чужое пространство",negative,1261777501308715008
"Выступление Медведева - своего рода эквивалент обращения Молотова 22 июня 1941 года (когда Сталин ""исчез"" на 10 дней).",neutral,1244578891970338819
РОССИНЕ ЕБНУТЫЕ ГДЕ ГОЛОС БЕЛАРУСИ Ф пиздецц https://t.co/tL34av0V5j,negative,1241722231195086850
@flufairii как же секси скажии,positive,1337310822020870144
Сегодня что то совсем нет сил,negative,1306085034043023365
Сука я на полном экране это не выдержу *но конечно же посмотрю https://t.co/oGeyYOrH3C,negative,1261733683419066368
хочу спин офф про Кая Паркерв,positive,1283809412667322369
"@mayya_gv Там же даже дыхание станет свежее, чем от тик-така",positive,1339618427418370049
"если это правда насчёт тао и чжиын , то я блять всё...я уже щас орать буду",negative,1330395933050331136
"А ещё я люблю пальто, чего уж там",positive,1316847106401935362
@Ai_LaoHuYou @Wanda_d_Winter Бутылочку https://t.co/bI7Qn7trct,neutral,1329015021393862657
"@DLGreez Sunlight: мы закрываем свои магазины в России

Тоже Sunlight: приходите к в наши магазины покупать барахло",negative,1324763708409716736
ОН. https://t.co/n7sTpBSsWF,neutral,1295745911121948672
"ребят нет
у меня же
долги
и
эх
прощайте https://t.co/NnknAWhFfM",negative,1267393871505436672
"Всем привет! Я выиграл в игре Pyatnashki 11.10.2020 14:14:17, очки : 894",positive,1315189014136315911
@DosovaLove Мы на успокоительных 😂,neutral,1241084680209866756
"Блять хватит,я уде не выдерживаю",negative,1221849442707550210
"Великолепно. 😌
https://t.co/6ih3LcJlrW",positive,1319214832969781248
"Бля,я только написал,и они перестали",negative,1342756505020461062
@miss_jenniekim Увууу как милоооооооооооо 😢💗💕💗💕💕💗💕💗💕💗💕💗💕💗,positive,1221465697450188800
Всем хороших выходных💙 https://t.co/VwVEtAZlwb,positive,1327580955305979910
@rianru Знатно бомбит змагаровскую шелупонь.,negative,1297602855319347209
хочу погулять 😔😔😔 надеюсь завтра с кем-нибудь схожу,positive,1307638730103062535
По моей одноразовой маске археологи даже через тысячу лет смогут восстановить слепок моего черепа🤔,neutral,1322240993949868040
@BigHitEnt ОЙ БЛЯТЬ Я НЕ ЗАМЕТИЛА УАКОГО ХУЯЯ,negative,1227246404638212099
"видеть в психопатичных мужчинах свой идеальный типаж неприлично, да кто ж меня остановит",neutral,1329087129859674114
@shininwithyou8 вау😮,positive,1251607656286093319
@stihuynya Спасибо. Ваши персонажи просто прелесть ~,positive,1334955200252170241
@vemiAsIGhtcnOnb @kataev777best По ходу дебил!,negative,1314932037535576066
@abstruse_cook Срочно нужна гиждуванская керамика в следующий раз 😁,positive,1266780316112388096
"Удаленка:
не могла ответить, потому что кот лизал мою руку",neutral,1260576990823841792
Этот взгляд в самую душу 🥵🥵🥵 https://t.co/UB3nyc74TI,positive,1304009075861213184
@_Fashington @Fake_MIDRF не слышу никаких криков только ропот о новых лишениях и изощренных методах отъема денег и будущего,negative,1217448049133395970
@grustnayajabaa @EtoNeTryla1a @KukuruzaLeon Где душно? У меня тут свежо и прохладненько,positive,1313770244687757313
"@Ninel1953 @Vremya_Pokazhet А у нас сейчас на улице +29. И без маски спасает только ветер, а в маске - вообще душегубка получается.",negative,1270302461937541120
@SGI_twt я где-то тихо гыгыкаю в сторонке,positive,1301928176814370816
ощущаю на себе выражение «влачить своё существование»,negative,1248008993798115328
если кому-то нужна ссылка: https://t.co/krmtuvgQKl,neutral,1311352261990322178
@I__love_Yoongi_ @tokyo_redf ну матик это хуйня ебанная,negative,1324298807555883008
"А потом блять р-не будут говорить да чё ты обижаешься сама же ушла
Да ничего блять",negative,1274032565528211458
"@youreintrap Вводить, буб",neutral,1252970167560294401
меня опять никто не видит,negative,1322540257519259649
еду в аниме-магазин я молю бога чтобы там было хоть что нибудь по хс /васт ерор/хайвпуп я съем любое только бы было что,neutral,1233719838939455488
вот кому повезло так повезло в 2020 - так это белорусам https://t.co/gTJHE56bYM,positive,1311653480105480193
чтоб вы понимали сколько я ебусь с этими задачами причем значения там одни и те же а я все никак не запомню что куда,negative,1308098425808920576
я собираюсь прыгнуть в огонь я так скучаю по 1 сезону 😭,negative,1263416312342200320
@yes2dayU ОЙ КАК ПРИЯТНО ЧТО ЛЮДИ ЕГО ИСПОЛЬЗУЮТ,positive,1299315381253926913
"@rosbaltru Лучше бы объяснил , что за непонятные люди в гражданке, ходят командуют ментами и угрожают людям расправой !!!",negative,1287961790417117186
Хочу чтобы так было и завтра.,positive,1248277391509794817
@i_uchenik08 Я просто не ложилась 👍,neutral,1323895269390454784
"Окей Гугл, как найти интернет друга больше, чем на пару часов..?",negative,1341431490807263233
"""А почему ты там долдна быть? Это только для друзей"".
А ты думала, что ты уже тоже друг.
Вот так оно и бывает, девачки.",negative,1289865421412155394
@gidreammirror Она врет,negative,1249366891333853186
@mda_uzh ввоооууу,positive,1259459028457046017
@iva_ruinite ТЫ ГДЕ ГУЛЮ ВЗЯЛА!?,neutral,1262686079838294019
"@aufffffffffffff Я тебя не ненавижу , я просто не упускаю шанс пошутить",positive,1239130830804484097
"@Unbeliveable__ 100 — не предел. 700к за мальтипу, камон)",neutral,1331168305747537921
Липома. Как избавиться от жировиков на лице? https://t.co/j2GOmWI2aZ,neutral,1313634990987542533
@_vaskerr Я нэжно,positive,1298658616174575618
"@CurrentTimeTv Дресированные цепные псы, всегда будут нужны крававым упырям☝️",negative,1334372166830264320
#Tales Of Wind# Отправляйтесь в путешествие и спешите навстречу приключениям вместе с друзьями! https://t.co/yaJ1lZgoCR,positive,1291353766000824323
@KpopLovesL по-моему охуенно,positive,1283077351413370880
"Повар спрашивает повараааа какова твоя профессияяя?
Его талант это попадать в неприятности даже во сне🤙 https://t.co/JrUpXkR8Zj",negative,1335995911923781632
@frog1to Красивая песня хочу на выпускном спеть,positive,1309916832736968704
@art100780 @sohi1962 Тоже хорошо😁,positive,1273332519405002753
@netyxava 😭😭😭❤️❤️❤️❤️❤️❤️❤️❤️❤️мояя,positive,1272898568353955840
"@u1tramir такая же история с Радзинским,тот был трезвый-выплатил 2 мульта и не сел...",negative,1270384779343650818
юля дай пост там где ты рекламировала вотерпаркс 🥺🥺🥺🥺🥺,neutral,1314204317407014912
я пью дешевое пиво потому что если жить то только красиво!!!,positive,1291817924433453058
"@Avdotia_Astr ""Но прежде чем взошла заря,
 Рабы прикончили царя""©",negative,1306664955282948096
"@tonny_twt Я рада, что с тобой сегодня всё в порядке 💜",positive,1314942951135551489
я зажгу огонь в твоих глазах!,positive,1325923064375373824
"@KatySpiridonov Провериться, были контакты 🤭",neutral,1326074109650931715
"@Jimka1312 блин я слепая извиняюсь
спасибо 🥰",positive,1276169626351816706
"@kurt_maximoff блять только что хотела скачать клипы со стримхаты и поняла что она была у вовы а он в бане
ахуеть",negative,1319344818657611777
Когда узнал все результаты ЕГЭ https://t.co/gOf4zJLoyS,neutral,1289272179066953728
"Ибо к каре я ни за что не хочу возвращаться, мне хватило его в 4 классе 🤦🏼‍♀️",negative,1301055971268190208
"У меня слов блять нет. Я всю ночь учила хирургию, а в итоге она спросила 4 человека. И спрашивает ВООБЩЕ не по теме",negative,1301333625800142855
22.05.2020 - Осталось 9 дней до месячного отпуска ( 7 из них я работаю ееее)),positive,1263845309958021122
@jesuslovechuuya отписался,negative,1276845110601437187
"30.01.1829 – умер А.С. Грибоедов 
Дым отечества (Михаил Пуриков) / Стихи.ру https://t.co/lKhCGrkjMv",neutral,1223729879188983809
мне пизда на экзамене по математике,negative,1238106552441151492
"@ndrblknsk ОРУ
У меня там будет пара по истории, надеюсь, будем играть в Ассасин Крид",negative,1243084704745693184
@iwannaddddie ЕМАЕ АЛЛЕГРОВА МОЕ ЛЮБИМОЕ ИМЯ!!!!!!!!,positive,1310514168731185153
@anusalinus_2 почему??,neutral,1297869717936443395
@dimsmirnov175 дед опять засядет в бункере,negative,1309383006889619456
@ChocoAelita @FishAndRypppp Супер!☀️,positive,1217743823067062275
@KasparHey Просто вот слов нет((,negative,1226600716699160578
